ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion,CTR,CPC,CPM,CPA
708746,2017-08-17,2017-08-17,916,103916,30-34,M,15,17,17,7350.0,1,1.429999948,2.0,1.0,0.00013605442176870748,1.429999948,0.1945578160544218,1.429999948
708749,2017-08-17,2017-08-17,916,103917,30-34,M,16,19,21,17861.0,2,1.820000023,2.0,0.0,0.00011197581322434354,0.9100000115,0.10189799132187446,0.0
708771,2017-08-17,2017-08-17,916,103920,30-34,M,20,25,22,693.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
708815,2017-08-30,2017-08-30,916,103928,30-34,M,28,32,32,4259.0,1,1.25,1.0,0.0,0.00023479690068091102,1.25,0.29349612585113877,0.0
708818,2017-08-17,2017-08-17,916,103928,30-34,M,28,33,32,4133.0,1,1.289999962,1.0,1.0,0.00024195499637067505,1.289999962,0.31212193612388095,1.289999962
708820,2017-08-17,2017-08-17,916,103929,30-34,M,29,30,30,1915.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
708889,2017-08-17,2017-08-17,916,103940,30-34,M,15,16,17,15615.0,3,4.769999981,1.0,0.0,0.00019212295869356388,1.5899999936666667,0.3054755031059878,0.0
708895,2017-08-17,2017-08-17,916,103941,30-34,M,16,20,18,10951.0,1,1.269999981,1.0,1.0,9.131586156515387e-05,1.269999981,0.11597114245274404,1.269999981
708953,2017-08-17,2017-08-17,916,103951,30-34,M,27,31,31,2355.0,1,1.5,1.0,0.0,0.0004246284501061571,1.5,0.6369426751592356,0.0
708958,2017-08-30,2017-08-30,916,103952,30-34,M,28,32,31,9502.0,3,3.159999967,1.0,0.0,0.0003157230056830141,1.0533333223333334,0.3325615625131551,0.0
708979,2017-08-30,2017-08-30,916,103955,30-34,M,31,37,34,1224.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
709023,2017-08-29,2017-08-29,916,103962,30-34,M,7,8,8,735.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
709038,2017-08-29,2017-08-29,916,103965,30-34,M,16,20,22,5117.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
709040,2017-08-29,2017-08-29,916,103965,30-34,M,16,19,21,5120.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
709059,2017-08-30,2017-08-30,916,103968,30-34,M,20,26,23,14669.0,7,10.28000021,1.0,1.0,0.000477196809598473,1.4685714585714287,0.7007976146976618,10.28000021
709105,2017-08-30,2017-08-30,916,103976,30-34,M,28,30,32,1241.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
709115,2017-08-30,2017-08-30,916,103978,30-34,M,30,34,31,2305.0,1,0.569999993,1.0,0.0,0.0004338394793926247,0.569999993,0.24728850021691973,0.0
709124,2017-08-30,2017-08-30,916,103979,30-34,M,31,34,33,1024.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
709179,2017-08-30,2017-08-30,916,103988,35-39,M,15,16,17,4627.0,1,1.690000057,1.0,0.0,0.0002161227577263886,1.690000057,0.3652474728765939,0.0
709183,2017-08-30,2017-08-30,916,103989,35-39,M,16,20,22,21026.0,4,4.630000114,2.0,1.0,0.00019024065442785123,1.1575000285,0.22020356292209647,4.630000114
709320,2017-08-17,2017-08-17,916,104012,35-39,M,15,21,20,1422.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
709323,2017-08-17,2017-08-17,916,104012,35-39,M,15,17,19,7132.0,2,2.609999895,1.0,0.0,0.00028042624789680314,1.3049999475,0.36595623878295014,0.0
709326,2017-08-18,2017-08-18,916,104013,35-39,M,16,22,22,12190.0,2,3.049999952,1.0,0.0,0.00016406890894175554,1.524999976,0.2502050821985234,0.0
709327,2017-08-18,2017-08-18,916,104013,35-39,M,16,22,20,12193.0,2,3.059999943,1.0,1.0,0.0001640285409661281,1.5299999715,0.2509636630033626,3.059999943
